Руст,Рзаб,Pлин,Руст.1,Рзаб.1,Рлин,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит гааз,Дебит кон нестабильный,Pсб,Pсб.1,G_total
2496,3701,1018,2490,3596,1018,1032,325,2147,836,4,23125,161037,1313,936,9238,278.0
2335,3646,1013,2310,3381,1024,1030,386,29059,1047,14,3090,231023,1585,929,9169,37.0
2134,3571,1016,2110,3148,1006,1026,434,36804,1143,19,38811,303949,1723,914,902,452.0
1916,3474,984,1870,2915,990,1020,461,43466,1213,33,45521,382408,1815,892,8803,522.0
1719,3377,992,1690,2703,995,1044,499,48328,1298,46,50459,42991,1906,897,8853,577.0
1995,2864,10636,1995,2866,10619,10264,3898,2517,768,6,2689,19210,1190,907,8951,308.0
27269,3887,8965,2680,3886,8675,10532,2203,37537,13898,86,3984,31270,2383,997,984,471.0
20215,3088,9788,1970,3087,9246,10522,3541,47378,15179,7,49681,38957,2450,992,979,573.0
16585,2705,7995,1620,2704,8115,10512,3383,48809,14315,43,50973,51290,2212,989,9761,578.0
13887,2393,8073,1360,2393,7954,10502,3726,49251,13768,41,51333,52356,2097,1008,9948,576.0
19141,2968,7657,1920,2968,7682,10238,248,35502,10927,33,37154,37055,1640,980,9672,425.0
29768,4245,10013,2980,4245,10225,10537,4488,49716,17976,329,52691,42045,2740,882,8705,642.0
29857,4034,11138,2980,4029,11161,10442,4244,36622,11828,147,38818,27246,1843,888,8764,459.0
28565,3992,12168,2880,3966,12362,10442,4918,47029,14503,227,49585,33249,2295,874,8626,583.0
2218,33252,10756,2220,3297,10677,1053,5222,6015,1671,10,62944,50200,2540,908,8961,728.0
